SIFT_총시간,ip / tp,Inlier match count,tp / kp,tiepoint count,keypoint
7.887485027313232,0.5562310030395137,183,0.29427549194991054,329,1118
7.887485027313232,0.2491349480968858,72,0.2539543057996485,289,1138
7.887485027313232,0.48226950354609927,136,0.2522361359570662,282,1118
7.887485027313232,0.6778711484593838,242,0.31932021466905186,357,1118
7.887485027313232,0.6229050279329609,223,0.32021466905187834,358,1118
7.887485027313232,0.47619047619047616,170,0.31932021466905186,357,1118
7.887485027313232,0.42696629213483145,152,0.2535612535612536,356,1404
7.887485027313232,0.7841191066997518,316,0.39471106758080315,403,1021
7.887485027313232,0.46175637393767704,163,0.3101933216168717,353,1138
7.887485027313232,0.3304093567251462,113,0.24411134903640258,342,1401
7.887485027313232,0.41007194244604317,114,0.288981288981289,278,962
7.887485027313232,0.6089743589743589,190,0.33226837060702874,312,939
